date_time,Latitude,Longitude,Altitude,Course/Heading,Speed,Surface Temperature,Dew Point,Water Film,Ice Percentage,Friction,Road Condition,
2017/01/24 16:08:42,39.449890000,-92.409785000,262.35,353.11,-1.00,63.19,37.30,0.00,0.00,0.82,0.00,
2017/01/24 16:12:31,39.449881000,-92.409746000,263.35,107.93,0.35,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,
2017/01/24 16:12:40,39.449883000,-92.409751000,262.82,134.65,0.58,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,
2017/01/24 16:12:50,39.449911000,-92.409852000,261.87,164.53,0.24,63.55,37.52,0.00,0.00,0.82,0.00,
2017/01/24 16:13:00,39.450030000,-92.409786000,263.72,4.92,0.73,63.40,37.51,0.00,0.00,0.82,0.00,
2017/01/24 16:13:10,39.449984000,-92.409785000,263.87,154.34,0.00,63.41,37.53,0.00,0.00,0.82,0.00,
2017/01/24 16:13:20,39.449936000,-92.409777000,263.61,154.34,0.00,63.45,37.54,0.00,0.00,0.82,0.00,
2017/01/24 16:13:30,39.449929000,-92.409792000,263.61,348.79,-1.00,63.32,37.58,0.00,0.00,0.82,0.00,
2017/01/24 16:13:39,39.449929000,-92.409792000,263.61,351.76,-1.00,63.31,37.56,0.00,0.00,0.82,0.00,
2017/01/24 16:13:50,39.450006000,-92.409998000,263.01,352.08,-1.00,63.41,37.59,0.00,0.00,0.82,0.00,
2017/01/24 16:14:00,39.449820000,-92.409698000,262.14,338.41,-1.00,63.29,37.58,0.00,0.00,0.82,0.00,
2017/01/24 16:14:10,39.449884000,-92.409759000,263.76,336.03,0.00,63.66,37.57,0.00,0.00,0.82,0.00,
2017/01/24 16:14:20,39.449884000,-92.409759000,263.79,265.70,0.00,63.41,37.58,0.00,0.00,0.82,0.00,
2017/01/24 16:14:30,39.449884000,-92.409759000,263.63,266.27,0.00,63.37,37.58,0.00,0.00,0.82,0.00,
2017/01/24 16:14:40,39.449884000,-92.409759000,263.45,263.30,0.00,63.38,37.61,0.00,0.00,0.82,0.00,
2017/01/24 16:14:50,39.449856000,-92.409729000,263.82,271.51,0.00,63.40,37.55,0.00,0.00,0.82,0.00,
2017/01/24 16:15:00,39.449856000,-92.409729000,263.59,266.80,0.00,63.03,37.57,0.00,0.00,0.82,0.00,
2017/01/24 16:15:10,39.449856000,-92.409729000,263.72,276.23,0.00,63.22,37.60,0.00,0.00,0.82,0.00,
2017/01/24 16:15:20,39.449856000,-92.409729000,263.83,279.89,0.00,63.41,37.62,0.00,0.00,0.82,0.00,
2017/01/24 16:15:30,39.449856000,-92.409729000,263.88,256.14,0.00,63.14,37.60,0.00,0.00,0.82,0.00,
2017/01/24 16:15:40,39.449856000,-92.409729000,263.73,260.58,0.00,63.26,37.61,0.00,0.00,0.82,0.00,
2017/01/24 16:15:50,39.449856000,-92.409729000,263.83,274.21,0.00,63.14,37.64,0.00,0.00,0.82,0.00,
2017/01/24 16:16:00,39.449856000,-92.409729000,263.83,256.66,0.00,63.24,37.63,0.00,0.00,0.82,0.00,
2017/01/24 16:16:10,39.449856000,-92.409729000,263.83,260.71,0.00,63.29,37.64,0.00,0.00,0.82,0.00,
2017/01/24 16:16:20,39.449856000,-92.409729000,263.83,265.30,0.00,63.28,37.67,0.00,0.00,0.82,0.00,
2017/01/24 16:16:30,39.449878000,-92.409792000,262.26,266.52,-1.00,63.13,37.67,0.00,0.00,0.82,0.00,
2017/01/24 16:16:40,39.449862000,-92.409751000,263.98,281.74,0.00,63.00,37.68,0.00,0.00,0.82,0.00,
2017/01/24 16:16:50,39.449862000,-92.409751000,263.69,263.57,0.00,63.25,37.65,0.00,0.00,0.82,0.00,
2017/01/24 16:17:00,39.449862000,-92.409751000,263.76,263.57,0.00,63.21,37.67,0.00,0.00,0.82,0.00,
2017/01/24 16:17:10,39.449862000,-92.409751000,263.94,335.45,0.00,63.17,37.71,0.00,0.00,0.82,0.00,
2017/01/24 16:17:49,39.449852000,-92.409743000,262.24,345.10,-1.00,63.14,37.73,0.00,0.00,0.82,0.00,
2017/01/24 16:18:31,39.449862000,-92.409755000,263.75,345.44,0.00,63.37,37.78,0.00,0.00,0.82,0.00,
2017/01/24 16:18:34,39.449862000,-92.409755000,263.75,342.05,0.00,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,
2017/01/24 16:21:02,39.449859000,-92.409752000,262.25,344.27,-1.00,63.43,37.65,0.00,0.00,0.82,0.00,
2017/01/24 16:21:11,39.449862000,-92.409761000,262.27,343.40,-1.00,63.41,37.62,0.00,0.00,0.82,0.00,
2017/01/24 16:21:20,39.449862000,-92.409761000,262.27,343.40,-1.00,63.68,37.62,0.00,0.00,0.82,0.00,
2017/01/24 16:21:30,39.449860000,-92.409755000,264.04,343.25,0.00,63.39,37.60,0.00,0.00,0.82,0.00,
2017/01/24 16:21:31,39.449860000,-92.409755000,263.83,37.26,0.00,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,
2017/01/24 16:22:23,39.449860000,-92.409755000,263.86,16.03,0.00,63.93,37.62,0.00,0.00,0.82,0.00,
2017/01/24 16:22:40,39.449860000,-92.409755000,263.51,4.49,0.00,63.71,37.66,0.00,0.00,0.82,0.00,
2017/01/24 16:22:50,39.449860000,-92.409755000,263.55,2.66,0.00,63.85,37.68,1.09,0.00,0.82,1.00,
2017/01/24 16:23:00,39.449860000,-92.409755000,263.55,352.29,0.00,65.41,37.71,4.62,0.00,0.82,2.00,
2017/01/24 16:23:10,39.449860000,-92.409755000,263.53,354.87,0.00,64.87,37.72,4.63,0.00,0.82,2.00,
2017/01/24 16:23:20,39.449861000,-92.409757000,263.23,19.06,0.00,65.25,37.74,4.62,0.00,0.82,2.00,
2017/01/24 16:23:30,39.449861000,-92.409757000,263.27,19.06,0.00,65.11,37.77,4.65,0.00,0.82,2.00,
2017/01/24 16:23:40,39.449861000,-92.409757000,263.17,19.06,0.00,63.76,37.80,0.72,0.00,0.82,1.00,
2017/01/24 16:23:50,39.449861000,-92.409757000,263.47,19.06,0.00,63.86,37.81,0.00,0.00,0.82,0.00,
2017/01/24 16:24:00,39.449861000,-92.409757000,262.81,19.06,0.00,63.81,37.79,0.00,0.00,0.82,0.00,
2017/01/24 16:24:10,39.449861000,-92.409757000,263.26,19.06,0.00,64.83,37.77,0.00,0.00,0.82,0.00,
2017/01/24 16:24:20,39.449861000,-92.409757000,263.38,19.06,0.00,63.31,37.81,0.00,0.00,0.82,0.00,
2017/01/24 16:24:30,39.449861000,-92.409757000,262.82,19.06,0.00,63.28,37.80,0.00,0.00,0.82,0.00,
2017/01/24 16:24:40,39.449861000,-92.409757000,263.25,19.06,0.00,63.50,37.78,0.00,0.00,0.82,0.00,
2017/01/24 16:24:50,39.449861000,-92.409757000,263.47,19.06,0.00,63.17,37.77,0.00,0.00,0.82,0.00,
2017/01/24 16:25:00,39.449861000,-92.409757000,263.25,19.06,0.00,63.10,37.77,0.00,0.00,0.82,0.00,
2017/01/24 16:25:10,39.449861000,-92.409757000,263.70,19.06,0.00,63.09,37.85,0.00,0.00,0.82,0.00,
2017/01/24 16:25:20,39.449851000,-92.409744000,263.62,20.47,0.00,63.35,37.94,0.00,0.00,0.82,0.00,
2017/01/24 16:25:30,39.449851000,-92.409744000,263.08,20.56,0.00,63.26,37.88,0.00,0.00,0.82,0.00,
2017/01/24 16:25:40,39.449851000,-92.409744000,263.34,21.34,0.00,63.34,37.84,0.00,0.00,0.82,0.00,
2017/01/24 16:25:50,39.449851000,-92.409744000,263.38,128.86,0.00,63.32,37.81,0.00,0.00,0.82,0.00,
2017/01/24 16:26:00,39.449851000,-92.409744000,263.26,11.31,0.00,63.04,37.78,0.00,0.00,0.82,0.00,
2017/01/24 16:26:10,39.449851000,-92.409744000,263.48,12.32,0.00,63.39,37.80,0.00,0.00,0.82,0.00,
2017/01/24 16:26:20,39.449851000,-92.409744000,263.48,11.31,-1.00,63.22,37.79,0.00,0.00,0.82,0.00,
2017/01/24 16:26:30,39.449851000,-92.409744000,263.48,11.31,-1.00,63.24,37.80,0.00,0.00,0.82,0.00,
2017/01/24 16:26:40,39.449851000,-92.409749000,262.17,11.31,-1.00,63.49,37.83,0.00,0.00,0.82,0.00,
2017/01/24 16:26:50,39.449850000,-92.409751000,262.17,11.31,-1.00,63.21,37.82,0.00,0.00,0.82,0.00,
2017/01/24 16:27:00,39.449850000,-92.409751000,262.17,10.31,-1.00,63.36,37.78,0.00,0.00,0.82,0.00,
2017/01/24 16:27:10,39.449857000,-92.409755000,262.17,12.32,-1.00,63.07,37.80,0.00,0.00,0.82,0.00,
2017/01/24 16:27:20,39.449857000,-92.409755000,262.17,11.32,-1.00,63.10,37.82,0.00,0.00,0.82,0.00,
2017/01/24 16:27:30,39.449857000,-92.409755000,262.17,11.32,-1.00,63.34,37.83,0.00,0.00,0.82,0.00,
2017/01/24 16:27:40,39.449831000,-92.409683000,262.04,11.32,-1.00,63.12,37.83,0.00,0.00,0.82,0.00,
2017/01/24 16:27:50,39.449833000,-92.409683000,262.04,11.32,-1.00,63.22,37.82,0.00,0.00,0.82,0.00,
2017/01/24 16:28:00,39.449833000,-92.409683000,262.04,11.32,-1.00,63.29,37.81,0.00,0.00,0.82,0.00,
2017/01/24 16:28:10,39.449833000,-92.409683000,262.04,11.32,-1.00,63.16,37.83,0.00,0.00,0.82,0.00,
2017/01/24 16:28:20,39.449833000,-92.409683000,262.04,11.32,-1.00,63.24,37.83,0.00,0.00,0.82,0.00,
2017/01/24 16:28:30,39.449833000,-92.409683000,262.04,11.32,-1.00,63.26,37.86,0.00,0.00,0.82,0.00,
2017/01/24 16:28:40,39.449845000,-92.409720000,262.11,11.32,-1.00,63.35,37.86,0.00,0.00,0.82,0.00,
2017/01/24 16:28:50,39.449847000,-92.409720000,262.11,10.32,-1.00,63.05,37.83,0.00,0.00,0.82,0.00,
2017/01/24 16:29:00,39.449847000,-92.409720000,262.11,10.32,-1.00,63.38,37.86,0.00,0.00,0.82,0.00,
2017/01/24 16:29:10,39.449847000,-92.409720000,262.11,12.33,-1.00,63.11,37.83,0.00,0.00,0.82,0.00,
2017/01/24 16:29:20,39.449847000,-92.409720000,262.11,10.32,-1.00,63.16,37.85,0.00,0.00,0.82,0.00,
2017/01/24 16:29:30,39.449847000,-92.409720000,262.11,10.32,-1.00,63.17,37.87,0.00,0.00,0.82,0.00,
2017/01/24 16:29:40,39.449852000,-92.409736000,262.15,10.32,-1.00,63.32,37.87,0.00,0.00,0.82,0.00,
2017/01/24 16:29:50,39.449852000,-92.409737000,262.15,10.32,-1.00,63.28,37.86,0.00,0.00,0.82,0.00,
2017/01/24 16:30:00,39.449852000,-92.409737000,262.15,10.32,-1.00,63.24,37.87,0.00,0.00,0.82,0.00,
2017/01/24 16:30:10,39.449852000,-92.409737000,262.15,12.34,-1.00,63.12,37.87,0.00,0.00,0.82,0.00,
2017/01/24 16:30:20,39.449852000,-92.409737000,262.15,12.34,-1.00,63.14,37.88,0.00,0.00,0.82,0.00,
2017/01/24 16:30:30,39.449852000,-92.409737000,262.15,12.34,-1.00,63.45,37.90,0.00,0.00,0.82,0.00,
2017/01/24 16:30:40,39.449837000,-92.409710000,262.14,12.34,-1.00,63.08,37.90,0.00,0.00,0.82,0.00,
2017/01/24 16:30:50,39.449837000,-92.409711000,262.14,12.34,-1.00,63.20,37.89,0.00,0.00,0.82,0.00,
2017/01/24 16:31:00,39.449837000,-92.409711000,262.14,12.34,-1.00,63.23,37.87,0.00,0.00,0.82,0.00,
2017/01/24 16:31:10,39.449837000,-92.409711000,262.14,13.34,-1.00,63.06,37.87,0.00,0.00,0.82,0.00,
2017/01/24 16:31:20,39.449837000,-92.409711000,262.14,13.34,-1.00,63.09,37.89,0.00,0.00,0.82,0.00,
2017/01/24 16:31:30,39.449837000,-92.409711000,262.14,13.34,-1.00,63.09,37.88,0.00,0.00,0.82,0.00,
2017/01/24 16:31:40,39.449849000,-92.409737000,263.46,14.38,0.00,63.08,37.89,0.00,0.00,0.82,0.00,
2017/01/24 16:31:50,39.449849000,-92.409737000,263.79,13.37,0.00,63.05,37.89,0.00,0.00,0.82,0.00,
2017/01/24 16:32:01,39.449849000,-92.409737000,263.28,13.37,0.00,63.14,37.88,0.00,0.00,0.82,0.00,
2017/01/24 16:32:10,39.449849000,-92.409737000,263.38,13.37,0.00,63.17,37.89,0.00,0.00,0.82,0.00,
2017/01/24 16:32:20,39.449849000,-92.409737000,263.50,13.37,0.00,63.06,37.88,0.00,0.00,0.82,0.00,
2017/01/24 16:32:30,39.449849000,-92.409737000,263.47,13.37,0.00,63.08,37.88,0.00,0.00,0.82,0.00,
2017/01/24 16:32:40,39.449849000,-92.409737000,263.39,12.34,-1.00,63.16,37.87,0.00,0.00,0.82,0.00,
2017/01/24 16:32:50,39.449849000,-92.409737000,263.39,11.33,-1.00,62.90,37.88,0.00,0.00,0.82,0.00,
2017/01/24 16:33:00,39.449849000,-92.409737000,263.39,11.33,-1.00,63.08,37.90,0.00,0.00,0.82,0.00,
2017/01/24 16:33:10,39.449857000,-92.409740000,262.43,12.35,-1.00,63.30,37.92,0.00,0.00,0.82,0.00,
2017/01/24 16:33:20,39.449859000,-92.409741000,262.43,12.35,-1.00,63.26,37.92,0.00,0.00,0.82,0.00,
2017/01/24 16:33:30,39.449859000,-92.409741000,262.43,11.34,-1.00,63.28,37.96,0.00,0.00,0.82,0.00,
2017/01/24 16:33:40,39.449859000,-92.409741000,262.43,10.34,-1.00,63.23,37.95,0.00,0.00,0.82,0.00,
2017/01/24 16:33:50,39.449859000,-92.409741000,262.43,10.34,-1.00,63.23,37.95,0.00,0.00,0.82,0.00,
2017/01/24 16:34:00,39.449859000,-92.409741000,262.43,10.34,-1.00,63.09,37.95,0.00,0.00,0.82,0.00,
2017/01/24 16:34:10,39.449842000,-92.409722000,262.28,12.36,-1.00,63.08,38.03,0.00,0.00,0.82,0.00,
2017/01/24 16:34:20,39.449843000,-92.409722000,262.28,11.35,-1.00,63.30,38.05,0.00,0.00,0.82,0.00,
2017/01/24 16:34:30,39.449843000,-92.409722000,262.28,10.33,-1.00,63.23,38.00,0.00,0.00,0.82,0.00,
2017/01/24 16:34:40,39.449843000,-92.409722000,262.28,10.33,-1.00,63.22,37.99,0.00,0.00,0.82,0.00,
2017/01/24 16:34:50,39.449843000,-92.409722000,262.28,10.33,-1.00,63.24,38.01,0.00,0.00,0.82,0.00,
2017/01/24 16:35:00,39.449843000,-92.409722000,262.28,10.33,-1.00,63.39,37.98,0.00,0.00,0.82,0.00,
2017/01/24 16:35:10,39.449868000,-92.409752000,262.29,12.35,-1.00,63.16,37.96,0.00,0.00,0.82,0.00,
2017/01/24 16:35:20,39.449869000,-92.409752000,262.29,11.34,-1.00,62.94,37.93,0.00,0.00,0.82,0.00,
2017/01/24 16:35:30,39.449869000,-92.409752000,262.29,11.34,-1.00,63.35,37.96,0.00,0.00,0.82,0.00,
2017/01/24 16:35:40,39.449770000,-92.409638000,262.20,11.34,-1.00,63.14,37.98,0.00,0.00,0.82,0.00,
2017/01/24 16:35:50,39.449770000,-92.409639000,262.20,10.33,-1.00,63.21,38.00,0.00,0.00,0.82,0.00,
2017/01/24 16:36:00,39.449770000,-92.409639000,262.20,10.33,-1.00,63.14,37.93,0.00,0.00,0.82,0.00,
2017/01/24 16:36:10,39.449770000,-92.409639000,262.20,11.34,-1.00,63.12,37.95,0.00,0.00,0.82,0.00,
2017/01/24 16:36:20,39.449770000,-92.409639000,262.20,11.34,-1.00,63.16,37.97,0.00,0.00,0.82,0.00,
2017/01/24 16:36:30,39.449770000,-92.409639000,262.20,10.34,-1.00,63.01,37.97,0.00,0.00,0.82,0.00,
2017/01/24 16:36:40,39.449821000,-92.409707000,262.21,10.34,-1.00,63.33,38.00,0.00,0.00,0.82,0.00,
2017/01/24 16:36:50,39.449822000,-92.409707000,262.21,10.34,-1.00,63.14,37.98,0.00,0.00,0.82,0.00,
2017/01/24 16:37:00,39.449822000,-92.409707000,262.21,10.34,-1.00,63.54,38.00,0.00,0.00,0.82,0.00,
2017/01/24 16:37:37,39.449841000,-92.409731000,262.22,10.36,-1.00,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,
2017/01/24 16:37:46,39.449843000,-92.409731000,262.22,11.36,-1.00,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,
2017/01/24 16:38:37,39.449830000,-92.409712000,262.19,10.35,-1.00,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,
2017/01/24 16:38:46,39.449831000,-92.409712000,262.19,12.37,-1.00,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,
2017/01/24 16:39:15,39.449853000,-92.409745000,262.48,12.37,0.00,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,
2017/01/24 16:39:49,39.449853000,-92.409745000,263.37,10.37,-1.00,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,
